startTime_ISO8601,startTime_secondsSinceMidnight1Jan1970UTC,estimatedSecondsSinceAlert,wantingAnything,whatWanting,wantingIntensity,wantedToFeel_control,wantedToFeel_lessStress,wantedToFeel_goodAboutMe,wantedToFeel_connected,wantedToFeel_comfort,wantedToFeel_novelty,wantedToFeel_calm,wantedToFeel_health,wantedToFeel_energy,wantedToFeel_goodPerson,wantedToFeel_competent,wantedToFeel_acknowledged,wantedToFeel_helpful,wantedToFeel_other,wantedToFeel_specifiedOther,wantedToFeel_nothingInParticular,doing,doing_specifiedOther,withOthers,feelingBadToGood,energy,physically_good,physically_energized,physically_hungry,physically_tired,physically_uncomfortable,physically_other,physically_specifiedOther,physically_noFeeling,feeling_angry,feelingIntensity_angry,feeling_anxious,feelingIntensity_anxious,feeling_awe,feelingIntensity_awe,feeling_content,feelingIntensity_content,feeling_frustrated,feelingIntensity_frustrated,feeling_grateful,feelingIntensity_grateful,feeling_happy,feelingIntensity_happy,feeling_jealous,feelingIntensity_jealous,feeling_loving,feelingIntensity_loving,feeling_proud,feelingIntensity_proud,feeling_restless,feelingIntensity_restless,feeling_sad,feelingIntensity_sad,feeling_other,feeling_specifiedOther,feeling_noEmotion,thinkingOverAndOver,comparingToOthers,lonely,selfWorth,appreciating,stressed
"2017-04-04T20:17:36-07:00",1491362256,6,2,"Work on project ",0.376,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,"chores",,0,0.584,0.57,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,0.038,0.629,0,0
"2017-04-04T08:50:30-07:00",1491321030,18,2,"Finish my book",0.394,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,"travel",,1,0.5,0.663,0,0,0,0,0,0,,1,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.498,0.143,0.376
"2017-04-03T21:13:01-07:00",1491279181,8333,2,"Debug my code ",0.564,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,"work",,0,0.468,0.227,0,0,0,1,0,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0.502,0,0.239
"2017-04-03T11:42:38-07:00",1491244958,2388,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"work",,2,0.502,0.663,0,0,0,0,0,0,,1,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0.414,0,0.078
"2017-04-02T23:32:30-07:00",1491201150,4567,2,"Meditate",0.149,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,"work",,0,0.5,0.361,0,0,0,1,0,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,0.247,,0,0.608,0,0.373
"2017-04-02T13:15:09-07:00",1491164109,5714,2,"Go outside ",0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"work",,0,0.606,0.725,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0.502,0,0.082
"2017-03-31T17:22:03-07:00",1491006123,6828,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,"travel",,1,0.44,0.5,0,0,0,0,0,0,,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,0.285,,0.275,0.586,0,0
"2017-03-31T11:34:07-07:00",1490985247,5316,2,"Eat ",0.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"work",,2,0.5,0.651,0,0,1,0,0,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0.5,0,0.369
"2017-03-30T19:19:46-07:00",1490926786,9,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,"travel",,1,0.624,0.496,0,0,1,0,0,0,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0.171,0.618,0.516,0
"2017-03-30T10:19:58-07:00",1490894398,,2,"Solve this database problem ",0.538,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,"work",,1,0.44,0.683,0,0,0,0,0,0,,1,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,0,,0,0.484,0,0.317
